,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
0,FUCA2,0.0017746964384166048,0.005654755071335321,0.001974615482994337,-0.00453073702247983,-0.0017251275936350798,-0.0040445448831943455,-0.0003837722967048061,-0.006472268135519548,0.003320064615534984
1,CFTR,0.00038474508818476345,0.0013265671515614954,6.997095527273942e-05,0.008253658261404279,0.00029893954808201317,-0.0006690943502810449,0.0009737177656725898,-0.00288140706410289,0.001857262523070227
2,BAD,-0.00840524426472794,-0.0003119629631454431,-0.0006393665070325483,0.005520655550802745,0.00017415867861982618,0.00019837525259971793,2.6316648367611817e-05,0.003464812732427872,0.0023426115747154632
3,CASP10,0.00028462716048149113,4.491052244017329e-05,0.0017830864317748105,0.002186689189432496,0.00011239268522575905,-0.003369411818169273,0.0006599578807810578,-0.0024405508545348865,0.0013602033178549933
4,CFLAR,-0.000428258486022416,0.005842610552098611,0.0004637135814874774,-0.004590348598613681,0.0010102180696822175,0.0016376636291584735,-0.000772365737534407,-0.002559639888042195,0.0021631023178299348
5,RPAP3,9.810008813349704e-06,0.00203333477533317,-0.0012339606652938834,0.00981070637668117,0.0009206213691705263,0.008373981600854286,-0.001894744357649628,-0.009519925436424577,0.004224635573777573
6,ADIPOR2,-0.0015941743783601022,0.00020777161661230097,-0.0006090275999433865,-0.0015393137968395753,-0.0005653893035869895,-0.0009767111886613044,0.00032244748520105046,0.010297607984618335,0.0020140554192278805
7,PRSS21,0.00030081622005626897,0.008824034933951877,-0.0005374570729653142,0.011958717100660942,0.0002300110366243787,-0.0019457824217515417,0.002482872838151632,-0.00855280634412823,0.0043540622460362735
8,PROM1,0.0008302034851594686,0.008755643124970123,-6.399431390931843e-05,0.0014325340695701724,0.00019945007160541438,0.006612069332874327,0.0007041525545665085,-0.010549004939415432,0.0036433814865088456
9,NOS2,0.0001695835202517118,0.020981247662900993,0.0014272462809970063,0.005291377319414502,2.4330579350739707e-05,-0.0032566819623991916,0.0020273904742928663,-0.0050180938759665505,0.004774493959446695
10,CEACAM7,8.349746958522031e-05,0.0033341428108174774,-0.0015930411116011187,-0.001981039360674901,-0.0017133844313898556,-0.002226848868158373,-0.00014551324281389424,0.009904887457748177,0.002622794344098627
11,SELE,0.0005600874813669076,0.0006727321401015984,0.00010039056751428442,-0.00013643456230626682,-0.0009428588964203527,-0.0016807009047277903,2.282079044000486e-05,0.00525958160950919,0.0011719508690482994
12,IL32,0.00013147292595218642,0.008116187793916547,-0.0007089659752994187,0.006731342781153474,0.0008912578629653336,-0.00513337319268226,0.000991906157770267,0.006907916590738939,0.003701552910059803
13,SPRTN,0.0006752856571816231,-0.001481717851687127,0.0001172528783456538,-0.0037280648841048203,-0.0010114832528561703,-0.003198556531716829,0.0005962607765901128,-0.0014545270656160477,0.0015328936122622982
